X,Y,OBJECTID,FORMULARIO,CODIGO_ACCIDENTE,FECHA_OCURRENCIA_ACC,ANO_OCURRENCIA_ACC,GRAVEDAD,CLASE_ACC,LOCALIDAD
-74.1184591259999,4.60762192300007,402664,A001132889,10510838,2020/02/11 00:00:00+00,2020,SOLO DANOS,CHOQUE,PUENTE ARANDA
-74.1198414469999,4.64310846400002,402665,A001132966,10510840,2020/02/11 00:00:00+00,2020,SOLO DANOS,CHOQUE,FONTIBON
-74.085775234,4.60110258700007,402666,A001132100,10510845,2020/02/12 00:00:00+00,2020,SOLO DANOS,CHOQUE,SANTA FE
-74.056974076,4.65607659000005,402667,A001133401,10510846,2020/02/12 00:00:00+00,2020,SOLO DANOS,CHOQUE,CHAPINERO
-74.1056267659999,4.60223092300004,402668,A001131901,10510849,2020/02/12 00:00:00+00,2020,SOLO DANOS,CHOQUE,PUENTE ARANDA
-74.072794314,4.71731741200006,402669,A001133558,10510850,2020/02/12 00:00:00+00,2020,SOLO DANOS,CHOQUE,SUBA
-74.0795580019999,4.67441415200005,402670,A001133693,10510861,2020/02/13 00:00:00+00,2020,CON HERIDOS,CHOQUE,BARRIOS UNIDOS
-74.186964904,4.62267379500003,402671,A001133821,10510863,2020/02/13 00:00:00+00,2020,CON HERIDOS,CHOQUE,BOSA
-74.148142896,4.60988724800006,402672,A001132665,10510868,2020/02/12 00:00:00+00,2020,CON HERIDOS,CHOQUE,KENNEDY
-74.088425709,4.67635958200003,402673,A001132855,10510869,2020/02/13 00:00:00+00,2020,CON HERIDOS,CHOQUE,ENGATIVA
-74.127959719,4.71520848200004,402674,A001133658,10510870,2020/02/13 00:00:00+00,2020,CON HERIDOS,CHOQUE,ENGATIVA
-74.1541715939999,4.66585259100003,402675,A001133373,10510872,2020/02/13 00:00:00+00,2020,CON HERIDOS,CHOQUE,FONTIBON
-74.120122318,4.57766515200007,402676,A001133757,10510873,2020/02/13 00:00:00+00,2020,CON HERIDOS,ATROPELLO,RAFAEL URIBE URIBE
-74.1119222419999,4.64374242600007,402677,A001133132,10510875,2020/02/13 00:00:00+00,2020,CON HERIDOS,ATROPELLO,PUENTE ARANDA
-74.12770426,4.61557439200004,402678,A001132289,10510919,2020/02/11 00:00:00+00,2020,SOLO DANOS,CHOQUE,KENNEDY
